id_ruta,transporte,origen,destino,duracion_minutos,capacidad
1,Taxi,Universidad,Aeropuerto,30,200
2,Tranvía,Centro,Plaza Central,55,50
3,Taxi,Estación Norte,Puerto,26,200
4,Metro,Hospital,Aeropuerto,71,4
5,Taxi,Centro,Estación Norte,47,4
6,Autobús,Estación Norte,Plaza Central,20,4
7,Tranvía,Puerto,Aeropuerto,29,200
8,Taxi,Hospital,Universidad,75,4
9,Tranvía,Aeropuerto,Estación Norte,48,200
10,Tren,Plaza Central,Universidad,81,4
11,Taxi,Puerto,Universidad,80,100
12,Tranvía,Plaza Central,Hospital,45,50
13,Tren,Aeropuerto,Estación Norte,33,4
14,Metro,Aeropuerto,Hospital,61,100
15,Taxi,Aeropuerto,Hospital,55,200
16,Tren,Centro,Puerto,86,4
17,Autobús,Plaza Central,Aeropuerto,15,200
18,Tren,Plaza Central,Universidad,83,200
19,Tranvía,Hospital,Puerto,60,200
20,Taxi,Hospital,Centro,36,100
21,Taxi,Plaza Central,Universidad,61,4
22,Metro,Hospital,Universidad,47,50
23,Metro,Universidad,Centro,11,4
24,Tren,Universidad,Centro,46,4
25,Metro,Puerto,Aeropuerto,46,4
26,Tranvía,Aeropuerto,Universidad,76,200
27,Metro,Aeropuerto,Universidad,79,100
28,Metro,Estación Norte,Aeropuerto,54,50
29,Taxi,Centro,Aeropuerto,78,200
30,Autobús,Puerto,Universidad,59,200
31,Taxi,Puerto,Hospital,64,50
32,Autobús,Aeropuerto,Plaza Central,88,100
33,Taxi,Estación Norte,Aeropuerto,29,50
34,Taxi,Plaza Central,Centro,24,200
35,Tren,Universidad,Puerto,23,200
36,Taxi,Centro,Aeropuerto,17,200
37,Tren,Estación Norte,Universidad,12,4
38,Metro,Puerto,Centro,16,200
39,Tranvía,Estación Norte,Hospital,52,100
40,Tranvía,Estación Norte,Aeropuerto,86,50
41,Tren,Aeropuerto,Universidad,24,100
42,Tranvía,Aeropuerto,Plaza Central,62,4
43,Metro,Hospital,Centro,31,50
44,Metro,Centro,Hospital,35,100
45,Autobús,Hospital,Estación Norte,54,100
46,Tren,Puerto,Hospital,48,200
47,Taxi,Puerto,Plaza Central,87,4
